tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-birth-hatch-latitude,animal-birth-hatch-longitude,animal-comments,animal-death-comments,animal-exact-date-of-birth,animal-group-id,animal-latest-date-born,animal-life-stage,animal-marker-id,animal-mass,animal-mates,animal-mortality-latitude,animal-mortality-longitude,animal-mortality-type,animal-nickname,animal-offspring,animal-parents,animal-reproductive-condition,animal-ring-id,animal-sex,animal-siblings,animal-taxon-detail,attachment-type,behavior-according-to,capture-handling-time,capture-latitude,capture-longitude,capture-timestamp,data-processing-software,dba-comments,deploy-off-latitude,deploy-off-longitude,deploy-off-measurements,deploy-off-person,deploy-off-sampling,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-person,deploy-on-sampling,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,geolocator-calibration,geolocator-light-threshold,geolocator-sensor-comments,geolocator-sun-elevation-angle,georeference-protocol,habitat-according-to,locality-according-to,location-accuracy-comments,manipulation-comments,manipulation-type,outlier-comments,study-site,tag-beacon-frequency,tag-comments,tag-failure-comments,tag-firmware,tag-manufacturer-name,tag-mass,tag-model,tag-processing-type,tag-production-date,tag-readout-method,tag-serial-no
123223,123223,Balaenoptera musculus,2013-02-14 08:21:00.000,2013-04-29 06:53:00.000,,,Balaenoptera musculus intermedia - Antarctic blue whale,,,,,Adult,,,,,,,,,,,,f,,Balaenoptera musculus intermedia,implant,,,,,,,,,,,,,-62.0059,149.0136,,,,See BDJ_ssm_2h_mpm.csv and doi:10.26179/jd0n-va59 for state-space model results,,unknown,123223_Argos,3h on/3h off,,,,,,,,,,none,,Western Ross Sea,,All raw Argos locations,,,Wildlife Computers,,Spot 200,,,satellite,
121205,121205,Balaenoptera musculus,2013-03-08 02:39:00.000,2013-03-21 07:29:00.000,,,Balaenoptera musculus intermedia - Antarctic blue whale,,,,,Adult,,,,,,,,,,,,m,,Balaenoptera musculus intermedia,implant,,,,,,,,,,,,,-64.0408,168.2875,,,,See BDJ_ssm_2h_mpm.csv and doi:10.26179/jd0n-va59 for state-space model results,,unknown,121205_Argos,3h on/3h off,,,,,,,,,,none,,Western Ross Sea,,All raw Argos locations,,,Wildlife Computers,,Spot 200,,,satellite,
123223,123223,Balaenoptera musculus,2013-02-14 08:21:00.000,2013-04-29 06:53:00.000,,,Balaenoptera musculus intermedia - Antarctic blue whale,,,,,Adult,,,,,,,,,,,,f,,Balaenoptera musculus intermedia,implant,,,,,,,,,,,,,-62.0059,149.0136,,,,See BDJ_ssm_2h_mpm.csv and doi:10.26179/jd0n-va59 for state-space model results,,unknown,123223_Argos,3h on/3h off,,,,,,,,,,none,,Western Ross Sea,,All raw Argos locations,,,Wildlife Computers,,Spot 200,,,satellite,
121205,121205,Balaenoptera musculus,2013-03-08 02:39:00.000,2013-03-21 07:29:00.000,,,Balaenoptera musculus intermedia - Antarctic blue whale,,,,,Adult,,,,,,,,,,,,m,,Balaenoptera musculus intermedia,implant,,,,,,,,,,,,,-64.0408,168.2875,,,,See BDJ_ssm_2h_mpm.csv and doi:10.26179/jd0n-va59 for state-space model results,,unknown,121205_Argos,3h on/3h off,,,,,,,,,,none,,Western Ross Sea,,All raw Argos locations,,,Wildlife Computers,,Spot 200,,,satellite,
2014CA-MK10-05650,2014CA-Bmu-05650,Balaenoptera musculus,2014-08-04 18:36:00.000,2014-08-23 17:25:53.000,,,,,,,,adult,,,,,,,2014_5650,,,,,m,,,implant,,,,,,,,,,,,,33.9758,-119.0048,,,,,,,2014-05650,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2014CA-MK10-05803,2014CA-Bmu-05803,Balaenoptera musculus,2014-08-04 20:23:00.000,2014-08-23 02:23:50.000,,,,,,,,adult,,,,,,,2014_5803,,,,,f,,,implant,,,,,,,,,,,,,34.0094,-119.0481,,,,,,,2014-05803,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2014CA-MK10-05644,2014CA-Bmu-05644,Balaenoptera musculus,2014-08-04 20:54:00.000,2014-08-23 17:26:41.000,,,,,,,,adult,,,,,,,2014_5644,,,,,f,,,implant,,,,,,,,,,,,,34.001,-119.0433,,,,,,,2014-05644,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2014CA-MK10-05655,2014CA-Bmu-05655,Balaenoptera musculus,2014-08-06 22:23:00.000,2014-08-26 18:04:04.000,,,,,,,,adult,,,,,,,2014_5655,,,,,f,,,implant,,,,,,,,,,,,,33.9876,-119.0427,,,,,,,2014-05655,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2014CA-MK10-05685,2014CA-Bph-05685,Balaenoptera physalus,2014-08-06 23:10:00.000,2014-08-18 20:20:42.000,,,,,,,,adult,,,,,,,2014_5685,,,,,m,,,implant,,,,,,,,,,,,,33.9825,-119.0008,,,,,,,2014-05685,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2014CA-MK10-05790,2014CA-Bph-05790,Balaenoptera physalus,2014-08-11 17:04:00.000,2014-08-25 01:02:46.000,,,,,,,,adult,,,,,,,2014_5790,,,,,f,,,implant,,,,,,,,,,,,,33.9841,-118.9806,,,,,,,2014-05790,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
