event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2270085084,true,2003-09-05 00:00:00.000,-119.9885,34.14913,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085085,true,2003-09-06 00:00:00.000,-120.1174,34.15689,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085086,true,2003-09-07 00:00:00.000,-119.9794,34.10178,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085087,true,2003-09-08 00:00:00.000,-120.2419,34.13614,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085088,true,2003-09-09 00:00:00.000,-120.0031,34.06798,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085089,true,2003-09-10 00:00:00.000,-120.3035,34.01422,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085090,true,2003-09-11 00:00:00.000,-120.1941,34.19523,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085091,true,2003-09-12 00:00:00.000,-120.1461,34.12507,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085092,true,2003-09-13 00:00:00.000,-120.1559,34.09061,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085093,true,2003-09-14 00:00:00.000,-119.9306,34.17285,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085094,true,2003-09-15 00:00:00.000,-120.0546,34.10446,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085095,true,2003-09-16 00:00:00.000,-120.1165,34.137,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
2270085096,true,2003-09-17 00:00:00.000,-120.3391,34.08684,"argos-doppler-shift","Balaenoptera","2007ST15-23043","4523043","Blue whales Eastern North Pacific 2003 State-space model output"
