id;modified;bibliographicCitation;references;institutionCode;collectionCode;basisOfRecord;materialSampleID;occurrenceID;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;organismQuantity;organismQuantityType;sex;lifeStage;occurrenceStatus;preparations;otherCatalogNumbers;associatedReferences;organismID;associatedOccurrences;eventID;samplingProtocol;sampleSizeValue;sampleSizeUnit;eventDate;eventTime;year;month;verbatimEventDate;fieldNumber;waterBody;country;stateProvince;county;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;footprintWKT;identifiedBy;dateIdentified;identificationReferences;identificationRemarks;identificationQualifier;typeStatus;scientificNameID;taxonConceptID;scientificName;kingdom;phylum;class;family;genus;subgenus;specificEpithet;infraspecificEpithet;taxonRank;scientificNameAuthorship;vernacularName
urn:lsid:taxonomy.org.au:MAMM:M46299;2019-01-11T09:32:18;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M46299;;;;;;1;individuals;;;present;;;;;;;;;;01/03/1995 00.03;;1995;3;;;;Australia;Western Australia;;;;;-3.193.333;115.75;;;POINT (115.75000 -31.93333);;;;;;;urn:lsid:marinespecies.org:taxname:136978;urn:lsid:biodiversity.org.au:afd.taxon:be78908b-d8f9-4b83-b53e-9951b83a1134;BALAENIDAE;Animalia;Chordata;Mammalia;Balaenidae;;;;;family;;right whales
urn:lsid:taxonomy.org.au:MAMM:M63008;2019-01-11T09:32:02;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M63008;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;Australia;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:136979;urn:lsid:biodiversity.org.au:afd.taxon:46215484-5a6d-454d-81cc-a32ffc35e22e;BALAENOPTERIDAE;Animalia;Chordata;Mammalia;Balaenopteridae;;;;;family;;rorquals
urn:lsid:taxonomy.org.au:MAMM:M49214;2019-01-11T09:32:28;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M49214;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;Australia;Western Australia;;;;;-2.876.667;114.06.00;;;POINT (114.60000 -28.76667);;;;;;;urn:lsid:marinespecies.org:taxname:136979;urn:lsid:biodiversity.org.au:afd.taxon:46215484-5a6d-454d-81cc-a32ffc35e22e;BALAENOPTERIDAE;Animalia;Chordata;Mammalia;Balaenopteridae;;;;;family;;rorquals
urn:lsid:taxonomy.org.au:MAMM:M63003;2019-01-11T09:32:59;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M63003;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;Australia;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:136979;urn:lsid:biodiversity.org.au:afd.taxon:46215484-5a6d-454d-81cc-a32ffc35e22e;BALAENOPTERIDAE;Animalia;Chordata;Mammalia;Balaenopteridae;;;;;family;;rorquals
urn:lsid:taxonomy.org.au:MAMM:M12520;2019-01-11T09:32:10;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M12520;;;;;;1;individuals;;;present;;;;;;;;;;03/11/1973 00.11;;1973;11;;;;Australia;Western Australia;;;;;-3.505.278;11.662.778;;;POINT (116.62778 -35.05278);;;;;;;urn:lsid:marinespecies.org:taxname:136979;urn:lsid:biodiversity.org.au:afd.taxon:46215484-5a6d-454d-81cc-a32ffc35e22e;BALAENOPTERIDAE;Animalia;Chordata;Mammalia;Balaenopteridae;;;;;family;;rorquals
urn:lsid:taxonomy.org.au:MAMM:M43346;2019-01-11T09:32:10;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M43346;;;;;;1;individuals;;;present;;;;;;;;;;30/09/1994 23.09;;1994;10;;;;Australia;Western Australia;;;;;-2.876.667;11.461.667;;;POINT (114.61667 -28.76667);;;;;;;urn:lsid:marinespecies.org:taxname:136979;urn:lsid:biodiversity.org.au:afd.taxon:46215484-5a6d-454d-81cc-a32ffc35e22e;BALAENOPTERIDAE;Animalia;Chordata;Mammalia;Balaenopteridae;;;;;family;;rorquals
urn:lsid:taxonomy.org.au:MAMM:M54176;2019-01-11T09:32:29;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M54176;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:137013;urn:lsid:biodiversity.org.au:afd.taxon:fac4795d-bc05-49ca-99d5-2d8b9c05acd3;Balaenoptera;Animalia;Chordata;Mammalia;Balaenopteridae;Balaenoptera;;;;genus;;
urn:lsid:taxonomy.org.au:MAMM:M22419;2019-01-11T09:32:29;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M22419;;;;;;1;individuals;;;present;;;;;;;;;;10/08/1984 23.08;;1984;8;;;;Australia;Western Australia;;;;;-32;11.551.667;;;POINT (115.51667 -32.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137087;urn:lsid:biodiversity.org.au:afd.taxon:8d201546-a692-4bac-9513-eccd069050c4;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Balaenopteridae;Balaenoptera;;;;Species;;Dwarf minke whale
urn:lsid:taxonomy.org.au:MAMM:M47218;2019-01-11T09:32:47;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M47218;;;;;;1;individuals;;;present;;;;;;;;;;;;1996;6;;;;Australia;Western Australia;;;;;-32;115.08.00;;;POINT (115.80000 -32.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137091;urn:lsid:biodiversity.org.au:afd.taxon:bb0ec4bf-61d1-4850-b164-287731f8a1c3;Balaenoptera physalus;Animalia;Chordata;Mammalia;Balaenopteridae;Balaenoptera;;;;species;;fin whale
urn:lsid:taxonomy.org.au:MAMM:M2372;2019-01-11T09:32:29;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M2372;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;Australia;Western Australia;;;;;-33.45;115.55.00;;;POINT (115.55000 -33.45000);;;;;;;urn:lsid:marinespecies.org:taxname:231424;urn:lsid:biodiversity.org.au:afd.taxon:62a8fd85-8ec4-4d57-96cf-355c363cece9;Caperea marginata;Animalia;Chordata;Mammalia;Neobalaenidae;Caperea;;;;species;;pygmy right whale
