id;modified;bibliographicCitation;institutionCode;collectionCode;basisOfRecord;informationWithheld;occurrenceID;catalogNumber;recordedBy;individualCount;sex;lifeStage;occurrenceStatus;eventDate;year;month;day;fieldNotes;waterBody;country;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;scientificNameID;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship
urn:catalog:AADC:WHALE_LOG:WL-1;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-1;WL-1;Crew and expeditioners on voyage;4;;;present;1995-09-19 07:09:00+00;1995;9;19;near brothers pt;Southern Ocean;Antarctica;Southern Ocean;;;-5.458.300.000;15.896.700.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137102;Orcinus orca;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Orcinus;orca;;Linnaeus,1758
urn:catalog:AADC:WHALE_LOG:WL-10;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-10;WL-10;Crew and expeditioners on voyage;1;;;present;1995-10-17 07:49:00+00;1995;10;17;surfacing in gaps between thin young floes;Southern Ocean;Antarctica;Southern Ocean;;;-6.421.700.000;7.396.700.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-101;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-101;WL-101;Crew and expeditioners on voyage;6;;;present;1997-01-07 22:15:00+00;1997;1;7;blowing and diving;Southern Ocean;Antarctica;Southern Ocean;;;-6.423.300.000;9.130.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-102;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-102;WL-102;Crew and expeditioners on voyage;;;;present;1997-01-07 22:50:00+00;1997;1;7;blowing;Southern Ocean;Antarctica;Southern Ocean;;;-6.411.700.000;9.200.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-103;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-103;WL-103;Crew and expeditioners on voyage;2;;;present;1997-01-07 23:00:00+00;1997;1;7;diving;Southern Ocean;Antarctica;Southern Ocean;;;-6.410.000.000;9.211.700.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-104;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-104;WL-104;Crew and expeditioners on voyage;1;;;present;1997-01-08 00:05:00+00;1997;1;8;blowing, showed tail and dived;Southern Ocean;Antarctica;Southern Ocean;;;-6.388.300.000;9.243.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137092;Megaptera novaeangliae;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Megaptera;novaeangliae;;(Borowski,1781)
urn:catalog:AADC:WHALE_LOG:WL-105;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-105;WL-105;Crew and expeditioners on voyage;1;;;present;1997-01-09 20:25:00+00;1997;1;9;dived 5m off bow;Southern Ocean;Antarctica;Southern Ocean;;;-6.433.300.000;10.518.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-106;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-106;WL-106;Crew and expeditioners on voyage;1;;;present;1997-01-10 08:45:00+00;1997;1;10;sirfaced twice 20 m from ship;Southern Ocean;Antarctica;Southern Ocean;;;-6.518.300.000;10.978.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-107;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-107;WL-107;Crew and expeditioners on voyage;2;;;present;1997-01-10 11:57:00+00;1997;1;10;surfaced , blew 3 times heading east;Southern Ocean;Antarctica;Southern Ocean;;;-6.541.700.000;10.970.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-108;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-108;WL-108;Crew and expeditioners on voyage;1;;;present;1997-01-11 04:50:00+00;1997;1;11;blowing ahead of ship;Southern Ocean;Antarctica;Southern Ocean;;;-6.618.300.000;10.998.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-11;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-11;WL-11;Crew and expeditioners on voyage;4;;;present;1995-10-17 08:45:00+00;1995;10;17;surfacing in gaps between thin young floes;Southern Ocean;Antarctica;Southern Ocean;;;-6.425.000.000;7.411.700.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-110;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-110;WL-110;Crew and expeditioners on voyage;1;;;present;1997-01-15 07:32:00+00;1997;1;15;spouted once, surfaced 3 times, heading 240;Southern Ocean;Antarctica;Southern Ocean;;;-6.598.300.000;10.991.700.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-111;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-111;WL-111;Crew and expeditioners on voyage;1;;;present;1997-01-16 06:00:00+00;1997;1;16;racing ship at 14 knots;Southern Ocean;Antarctica;Southern Ocean;;;-6.353.300.000;11.566.700.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=343900;Hyperoodon planifrons;Animalia;Chordata;Mammalia;Cetacea;Ziphiidae;Hyperoodon;planifrons;;Flower,1882
urn:catalog:AADC:WHALE_LOG:WL-112;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-112;WL-112;Crew and expeditioners on voyage;;;;present;1997-01-18 09:55:00+00;1997;1;18;racing ship at 14 knots;Southern Ocean;Antarctica;Southern Ocean;;;-5.921.700.000;13.981.700.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=383563;Lagenorhynchus cruciger;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Lagenorhynchus;cruciger;;(Quoy and Gaimard,1824)
urn:catalog:AADC:WHALE_LOG:WL-113;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-113;WL-113;Crew and expeditioners on voyage;5;;;present;1997-01-20 08:30:00+00;1997;1;20;crossing wset to east;Southern Ocean;Antarctica;Southern Ocean;;;-5.516.700.000;15.768.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=220222;Eubalaena australis;Animalia;Chordata;Mammalia;Cetacea;Balaenidae;Eubalaena;australis;;(Desmoulins,1822)
urn:catalog:AADC:WHALE_LOG:WL-114;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-114;WL-114;Crew and expeditioners on voyage;30;;;present;1997-01-20 08:30:00+00;1997;1;20;;Southern Ocean;Antarctica;Southern Ocean;;;-5.516.700.000;15.768.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137097;Globicephala melas;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Globicephala;melas;;Traill,1809
urn:catalog:AADC:WHALE_LOG:WL-115;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-115;WL-115;Crew and expeditioners on voyage;;;;present;1997-02-06 00:30:00+00;1997;2;6;ship stationary;Southern Ocean;Antarctica;Southern Ocean;;;-6.547.300.000;10.895.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-116;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-116;WL-116;Crew and expeditioners on voyage;1;;;present;1997-02-06 05:30:00+00;1997;2;6;;Southern Ocean;Antarctica;Southern Ocean;;;-6.550.300.000;10.890.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
