id;bibliographicCitation;institutionCode;collectionCode;basisOfRecord;dynamicProperties;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;sex;lifeStage;preparations;otherCatalogNumbers;associatedReferences;eventDate;year;month;day;fieldNumber;waterBody;country;stateProvince;county;locality;verbatimDepth;minimumDepthInMeters;maximumDepthInMeters;verbatimCoordinates;decimalLatitude;decimalLongitude;coordinatePrecision;identifiedBy;dateIdentified;typeStatus;scientificNameID;scientificName;scientificNameAuthorship
1;;SAMC;ZM;HumanObservation;;SAMC-ZM-000830;"Incomplete skull, no mandibles; Beach pick up";;Best PB;;;;;SAM-ZM039222;;1978-08-16T12:00:00Z;1978;8;;78/36;Atlantic;Nambia;;;Pelican Point, Walvis Bay;;;;;-228.666.992.188;144.499.998.093;;Best PB;;;urn:lsid:marinespecies.org:taxname:231429;Mesoplodon layardii;
2;;SAMC;ZM;HumanObservation;;SAMC-ZM-000606;"Skull; 9-11 months old";;Rand RW;;F;;;SAM-ZM034937;;1947-11-16T12:00:00Z;1947;11;16;UGGI 2073;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
3;;SAMC;ZM;HumanObservation;;SAMC-ZM-001240;"Skull and mandible; Yearling; cupboard No. 2";;Rand RW;;M;;;SAM-ZM034847;;1948-01-05T12:00:00Z;1948;1;5;No. 2747;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
4;;SAMC;ZM;HumanObservation;;SAMC-ZM-000843;"Skull; Total length 5.65m; Stranded live";;Best PB;;M;;;SAM-ZM040967;;1991-04-06T12:00:00Z;1991;4;6;PBB 91/07;Atlantic;South Africa;;;Laingville, St. Helena Bay;;;;;-327.000.007.629;180.832.996.368;;Best PB;;;urn:lsid:marinespecies.org:taxname:231429;Mesoplodon layardii;
5;;SAMC;ZM;HumanObservation;;SAMC-ZM-001222;"Skull, mandible, baculum and nails; Adult; cupboard No. 2";;Rand RW;;M;;;SAM-ZM034830;;1947-12-10T12:00:00Z;1947;12;10;No. 2634;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
6;;SAMC;ZM;HumanObservation;;SAMC-ZM-000616;"Skull, mandible, baculum and nail; Cupboard No. 2";;Rand RW;;M;;;SAM-ZM034764;;1947-11-21T12:00:00Z;1947;11;21;No. 2190;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
7;;SAMC;ZM;HumanObservation;;SAMC-ZM-000682;"Skull and mandible; Adult; cupboard No. 2";;Rand RW;;F;;;SAM-ZM034787;;1946-11-13T12:00:00Z;1946;11;13;No. 1018;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
8;;SAMC;ZM;HumanObservation;;SAMC-ZM-000390;"Skull; Total length 1.77m; Trawled; Drowned in trawl on Korean trawler  Daejin 21   23/02/ 1983 ; locality could be also 17degree 45 minutes south and 11 degree 26 minute east";;Best PB;;F;;;SAM-ZM039875;;1983-03-15T12:00:00Z;1983;3;15;83/12;Atlantic;Nambia;;;;;;;;-177.000.007.629;114.666.996.002;;Best PB;;;urn:lsid:marinespecies.org:taxname:137094;Delphinus delphis;
9;;SAMC;ZM;HumanObservation;;SAMC-ZM-000978;"Portion of snout- skin , with bristles; Not in collection July 1976";;;;;;;SAM-ZM012247;;1912-09-16T00:00:00Z;1912;9;;;Atlantic;South Africa;;;Saldanha Bay;;;;;-330.332.984.924;18.00;;;;;urn:lsid:marinespecies.org:taxname:137013;Balaenoptera sp.;
10;;SAMC;ZM;HumanObservation;;SAMC-ZM-001115;"Complete skull and mandible; Adult; cupboard No. 1";;Rand RW;;F;;;SAM-ZM034646;;;;;;No. 2738;Atlantic;Nambia;;;Sinclairs Island, South West Africa;;;;;-276.667.003.632;155.333.003.998;;Rand RW;;;urn:lsid:marinespecies.org:taxname:231410;Arctocephalus pusillus;
