id;modified;bibliographicCitation;references;institutionCode;collectionCode;basisOfRecord;materialSampleID;occurrenceID;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;organismQuantity;organismQuantityType;sex;lifeStage;occurrenceStatus;preparations;otherCatalogNumbers;associatedReferences;organismID;associatedOccurrences;eventID;samplingProtocol;sampleSizeValue;sampleSizeUnit;eventDate;eventTime;year;month;verbatimEventDate;fieldNumber;waterBody;country;stateProvince;county;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;footprintWKT;identifiedBy;dateIdentified;identificationReferences;identificationRemarks;identificationQualifier;typeStatus;scientificNameID;taxonConceptID;scientificName;kingdom;phylum;class;family;genus;subgenus;specificEpithet;infraspecificEpithet;taxonRank;scientificNameAuthorship;vernacularName
69209;2019-12-19T09:21:43;;;;;HumanObservation;;69209;;;;;;1;individual;Unknown;Unknown;present;;;;;;;;;;18/12/1964;;;;;;;Australia;;;;0;0;-42;173;50000;0,311111111;POINT (173.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
69210;2019-12-19T09:21:44;;;;;HumanObservation;;69210;;;;;;1;individual;Unknown;Unknown;present;;;;;;;;;;18/12/1964;;;;;;;Australia;;;;0;0;-42;173;50000;0,311111111;POINT (173.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
69211;2019-12-19T09:21:44;;;;;HumanObservation;;69211;;;;;;1;individual;Unknown;Unknown;present;;;;;;;;;;18/12/1964;;;;;;;Australia;;;;0;0;-42;173;50000;0,311111111;POINT (173.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
69212;2019-12-19T09:21:44;;;;;HumanObservation;;69212;;;;;;1;individual;Unknown;Unknown;present;;;;;;;;;;19/12/1964;;;;;;;Australia;;;;0;0;-42;174;50000;0,311111111;POINT (174.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
34033;2019-12-19T09:15:37;;;;;HumanObservation;;34033;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;20/05/1952;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
47323;2019-12-19T09:17:41;;;;;HumanObservation;;47323;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;17/09/1956;;;;;;;Australia;;;;0;0;-36.15;175.267;2000;0,124305556;POINT (175.26700 -36.15000);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
47316;2019-12-19T09:17:40;;;;;HumanObservation;;47316;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;19/07/1956;;;;;;;Australia;;;;0;0;-360.667;175.233;2000;0,124305556;POINT (175.23300 -36.06670);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
47317;2019-12-19T09:17:40;;;;;HumanObservation;;47317;;;;;;1;individual;Female;Mature;present;;;;;;;;;;19/07/1956;;;;;;;Australia;;;;0;0;-360.833;175.217;2000;0,124305556;POINT (175.21700 -36.08330);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
47319;2019-12-19T09:17:40;;;;;HumanObservation;;47319;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;26/07/1956;;;;;;;Australia;;;;0;0;-361.167;17.510.001;2000;0,124305556;POINT (175.10001 -36.11670);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
47328;2019-12-19T09:17:42;;;;;HumanObservation;;47328;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;23/09/1956;;;;;;;Australia;;;;0;0;-36;175.217;2000;0,124305556;POINT (175.21700 -36.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137088;;Balaenoptera borealis;Animalia;;;;;;;;species;;Sei
