id;modified;bibliographicCitation;institutionCode;collectionCode;basisOfRecord;informationWithheld;occurrenceID;catalogNumber;recordedBy;individualCount;sex;lifeStage;occurrenceStatus;eventDate;year;month;day;fieldNotes;waterBody;country;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;scientificNameID;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship
urn:catalog:AADC:WC:1;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:1;1;;10;;;present;1938-01-01 00:00:00+00;1938;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.750.000.000;8.150.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:10;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:10;10;;16;;;present;1939-01-01 00:00:00+00;1939;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.850.000.000;8.550.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:100;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:100;100;;5;;;present;1950-01-01 00:00:00+00;1950;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.050.000.000;8.050.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:1000;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:1000;1000;;35;;;present;1934-01-01 00:00:00+00;1934;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.750.000.000;8.450.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:1001;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:1001;1001;;57;;;present;1934-01-01 00:00:00+00;1934;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.750.000.000;8.550.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:1002;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:1002;1002;;64;;;present;1934-01-01 00:00:00+00;1934;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.750.000.000;8.650.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:1003;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:1003;1003;;26;;;present;1934-01-01 00:00:00+00;1934;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.750.000.000;8.750.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:1004;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:1004;1004;;22;;;present;1934-01-01 00:00:00+00;1934;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.750.000.000;8.850.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:1005;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:1005;1005;;4;;;present;1934-01-01 00:00:00+00;1934;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.750.000.000;8.950.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:1006;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:1006;1006;;15;;;present;1934-01-01 00:00:00+00;1934;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.750.000.000;9.150.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
