# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
2.210134809418669022e+00,0.000000000000000000e+00
4.420269618837338044e+00,0.000000000000000000e+00
6.630404428256007066e+00,3.066184260864218345e+02
8.840539237674676087e+00,3.066184260864218345e+02
1.105067404709334511e+01,6.132368521728436690e+02
1.326080885651201413e+01,9.198552782592655603e+02
1.547094366593068315e+01,1.226473704345687338e+03
1.768107847534935217e+01,1.533092130432109343e+03
1.989121328476802120e+01,1.686401343475320118e+03
2.210134809418669022e+01,2.299638195648163673e+03
2.431148290360535924e+01,2.299638195648163673e+03
2.652161771302402826e+01,2.759565834777796681e+03
2.873175252244269728e+01,3.066184260864218686e+03
3.094188733186136631e+01,3.832730326080273244e+03
3.315202214128003533e+01,3.832730326080273244e+03
3.536215695069870435e+01,4.139348752166694794e+03
3.757229176011737337e+01,4.599276391296327347e+03
3.978242656953604239e+01,5.365822456512382814e+03
4.199256137895471142e+01,5.365822456512382814e+03
4.420269618837338044e+01,5.979059308685225915e+03
4.641283099779204946e+01,6.132368521728437372e+03
4.862296580721071848e+01,6.745605373901280473e+03
5.083310061662938750e+01,6.745605373901280473e+03
5.304323542604805652e+01,7.818769865203757035e+03
5.525337023546672555e+01,8.738625143463023051e+03
5.746350504488539457e+01,9.811789634765498704e+03
5.967363985430406359e+01,1.042502648693834271e+04
6.188377466372273261e+01,1.149819097824082019e+04
6.409390947314139453e+01,1.165150019128403073e+04
6.630404428256007066e+01,1.226473704345687474e+04
6.851417909197874678e+01,1.272466468258650639e+04
7.072431390139740870e+01,1.287797389562971694e+04
7.293444871081607062e+01,1.333790153475935040e+04
7.514458352023474674e+01,1.364451996084577331e+04
7.735471832965342287e+01,1.379782917388898386e+04
7.956485313907208479e+01,1.379782917388898386e+04
8.177498794849074670e+01,1.410444759997540496e+04
8.398512275790942283e+01,1.471768445214824897e+04
8.619525756732809896e+01,1.533092130432109298e+04
8.840539237674676087e+01,1.563753973040751407e+04
9.061552718616542279e+01,1.563753973040751407e+04
9.282566199558409892e+01,1.625077658258035808e+04
9.503579680500277505e+01,1.686401343475320027e+04
9.724593161442143696e+01,1.686401343475320027e+04
9.945606642384009888e+01,1.717063186083962501e+04
1.016662012332587750e+02,1.717063186083962501e+04
1.038763360426774511e+02,1.763055949996925483e+04
1.060864708520961130e+02,1.809048713909888829e+04
1.082966056615147750e+02,1.824379635214210066e+04
