# radii,kt_uniform
0.000000000000000000e+00,0.000000000000000000e+00
3.189287423150994893e+00,0.000000000000000000e+00
6.378574846301989787e+00,6.300838357092967357e+01
9.567862269452984236e+00,2.835377260691835204e+02
1.275714969260397957e+01,5.040670685674373885e+02
1.594643711575497491e+01,6.930922192802264590e+02
1.913572453890596847e+01,9.766299453494099225e+02
2.232501196205696559e+01,1.417688630345917773e+03
2.551429938520795915e+01,1.890251507127890363e+03
2.870358680835895271e+01,2.740864685335440754e+03
3.189287423150994982e+01,3.339444329259272763e+03
3.508216165466094338e+01,3.812007206041245354e+03
3.827144907781193695e+01,4.347578466394147654e+03
4.146073650096293051e+01,5.450225178885417336e+03
4.465002392411393117e+01,6.269334165307503099e+03
4.783931134726492473e+01,7.214459918871448281e+03
5.102859877041591830e+01,8.096577288864463299e+03
5.421788619356691186e+01,9.010198850642944308e+03
5.740717361671790542e+01,1.030187071384700175e+04
6.059646103986890608e+01,1.124699646741094693e+04
6.378574846301989965e+01,1.244415575525861095e+04
6.697503588617088610e+01,1.370432342667720513e+04
7.016432330932188677e+01,1.486997852273940407e+04
7.335361073247288743e+01,1.609864200237253135e+04
7.654289815562387389e+01,1.732730548200566045e+04
7.973218557877487456e+01,1.846145638628239612e+04
8.292147300192586101e+01,1.975312824948645357e+04
8.611076042507686168e+01,2.069825400305039875e+04
8.930004784822786235e+01,2.158037137304341377e+04
9.248933527137884880e+01,2.258850551017828911e+04
9.567862269452984947e+01,2.362814383909862954e+04
9.886791011768083592e+01,2.451026120909164456e+04
1.020571975408318366e+02,2.517184923658640400e+04
1.052464849639828373e+02,2.605396660657942266e+04
1.084357723871338237e+02,2.696758816835790276e+04
1.116250598102848244e+02,2.772368877120905745e+04
1.148143472334358108e+02,2.860580614120207247e+04
1.180036346565868115e+02,2.914137740155497522e+04
1.211929220797378122e+02,2.989747800440612991e+04
1.243822095028887986e+02,3.046455345654449775e+04
1.275714969260397993e+02,3.109463729225379575e+04
1.307607843491908000e+02,3.172472112796309011e+04
1.339500717723417722e+02,3.216577981295960126e+04
1.371393591954927729e+02,3.251232592259971352e+04
1.403286466186437735e+02,3.273285526509796546e+04
1.435179340417947742e+02,3.326842652545087185e+04
1.467072214649457749e+02,3.367798101866191428e+04
1.498965088880967471e+02,3.421355227901481703e+04
1.530857963112477478e+02,3.449709000508399913e+04
1.562750837343987484e+02,3.484363611472411139e+04
