# Mito_number, Area of Mitochondria
1.000000000000000000e+00,4.382523399649564340e+02
2.000000000000000000e+00,4.493568077113536674e+03
4.000000000000000000e+00,4.508376554495231176e+03
6.000000000000000000e+00,1.176379127044635425e+03
7.000000000000000000e+00,1.978645576365618035e+04
8.000000000000000000e+00,2.272388055480694311e+04
1.000000000000000000e+01,2.853566221218726241e+03
1.200000000000000000e+01,4.887490622015622648e+03
1.300000000000000000e+01,5.754596308088785008e+04
1.400000000000000000e+01,1.784650712216905595e+04
1.500000000000000000e+01,1.098785634373091671e+04
1.600000000000000000e+01,3.218687854613798845e+04
1.800000000000000000e+01,1.357681548983581342e+04
2.000000000000000000e+01,2.617768119390853826e+03
2.300000000000000000e+01,4.098695070170922918e+03
2.400000000000000000e+01,4.619493044819569332e+04
2.600000000000000000e+01,2.602678513608122444e+02
2.700000000000000000e+01,7.993615007703276206e+03
2.800000000000000000e+01,2.003010478411826189e+05
2.900000000000000000e+01,2.159947785912149993e+05
3.000000000000000000e+01,1.171582428882215390e+04
3.100000000000000000e+01,2.044594308687660305e+04
3.200000000000000000e+01,7.565169826490552805e+04
3.300000000000000000e+01,1.126030871506908443e+05
3.400000000000000000e+01,2.377570319503273276e+04
3.500000000000000000e+01,1.650904561320964422e+04
3.700000000000000000e+01,2.157406969348499388e+03
3.800000000000000000e+01,1.896917411743061894e+04
3.900000000000000000e+01,3.859263493719442340e+04
4.100000000000000000e+01,2.627625801372413207e+03
4.200000000000000000e+01,1.989153582787868800e+05
4.300000000000000000e+01,2.855196921987938549e+04
4.400000000000000000e+01,1.214565890431871812e+05
4.800000000000000000e+01,2.132503970856546584e+04
4.900000000000000000e+01,2.426514215891860949e+05
5.000000000000000000e+01,2.931689284208654863e+04
5.100000000000000000e+01,2.073839824740356562e+04
5.300000000000000000e+01,2.023740389278868861e+03
5.400000000000000000e+01,1.487630968112392839e+04
5.500000000000000000e+01,1.710545991504488484e+04
5.700000000000000000e+01,6.226059962101574456e+03
5.800000000000000000e+01,1.116134648691405164e+04
6.000000000000000000e+01,1.370272920095206428e+04
6.100000000000000000e+01,8.897757389016296656e+03
6.200000000000000000e+01,4.821603234072602208e+04
6.300000000000000000e+01,1.192094495021471630e+04
6.400000000000000000e+01,2.381167117911068635e+04
6.500000000000000000e+01,8.058030821675125480e+03
6.700000000000000000e+01,1.243541828904281283e+04
6.800000000000000000e+01,4.108965379453254718e+04
7.000000000000000000e+01,4.279754393330044309e+02
7.200000000000000000e+01,6.347395558525801789e+03
7.300000000000000000e+01,4.233485803407671483e+04
7.400000000000000000e+01,1.159060019230620965e+05
7.500000000000000000e+01,1.576729363470671524e+04
7.700000000000000000e+01,2.929640518204861110e+03
7.800000000000000000e+01,1.277244178460510557e+04
8.000000000000000000e+01,3.388084843145744799e+03
8.200000000000000000e+01,1.101041470939374904e+03
8.300000000000000000e+01,2.577150057208340731e+05
8.500000000000000000e+01,1.221763129101314689e+03
8.600000000000000000e+01,1.579192657599873382e+04
8.700000000000000000e+01,3.703644671644716436e+04
8.800000000000000000e+01,4.058552779541833297e+04
8.900000000000000000e+01,2.460280890810072015e+04
9.000000000000000000e+01,2.367117357268265914e+04
9.100000000000000000e+01,3.323824095610019140e+04
9.200000000000000000e+01,1.108771895955045147e+04
9.800000000000000000e+01,2.156591233452523738e+04
9.900000000000000000e+01,8.926261730312529835e+03
1.020000000000000000e+02,3.118110646520741284e+04
1.030000000000000000e+02,4.753984297618526034e+04
1.040000000000000000e+02,1.023987740537336649e+05
1.050000000000000000e+02,2.057649749643942341e+05
1.070000000000000000e+02,2.852862621164980737e+04
1.080000000000000000e+02,1.492855916858066303e+04
1.100000000000000000e+02,3.975813549852761753e+03
1.110000000000000000e+02,7.918878115305065876e+03
1.120000000000000000e+02,9.782518189077143688e+03
1.140000000000000000e+02,3.872041312192727673e+03
1.160000000000000000e+02,2.602678513608123012e+02
1.170000000000000000e+02,2.042591100568487309e+04
1.190000000000000000e+02,9.552910928189055994e+03
1.210000000000000000e+02,1.874357973024592866e+03
