# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
2.047010753362100477e+00,0.000000000000000000e+00
4.094021506724200954e+00,0.000000000000000000e+00
6.141032260086301875e+00,6.191260007099419482e+01
8.188043013448401908e+00,6.191260007099419482e+01
1.023505376681050194e+01,2.476504002839767793e+02
1.228206452017260375e+01,2.476504002839767793e+02
1.432907527353470378e+01,4.333882004969593709e+02
1.637608602689680382e+01,5.572134006389477463e+02
1.842309678025890562e+01,9.286890010649128726e+02
2.047010753362100388e+01,1.362077201561872243e+03
2.251711828698310569e+01,1.671640201916843125e+03
2.456412904034520750e+01,2.228853602555790985e+03
2.661113979370730576e+01,2.600329202981756225e+03
2.865815054706940757e+01,2.909892203336727107e+03
3.070516130043150582e+01,3.405193003904680609e+03
3.275217205379360763e+01,4.024319004614622372e+03
3.479918280715570944e+01,4.457707205111581970e+03
3.684619356051781125e+01,5.014920605750529830e+03
3.889320431387990595e+01,5.510221406318482877e+03
4.094021506724200776e+01,6.191260007099419454e+03
4.298722582060410957e+01,6.438910407383395977e+03
4.503423657396621138e+01,7.119949008164332554e+03
4.708124732732831319e+01,7.677162408803279504e+03
4.912825808069041500e+01,8.420113609655210894e+03
5.117526883405250970e+01,8.977327010294158754e+03
5.322227958741461151e+01,9.472627810862111801e+03
5.526929034077671332e+01,9.967928611430064848e+03
5.731630109413881513e+01,1.077279241235299014e+04
5.936331184750091694e+01,1.133000581299193800e+04
6.141032260086301164e+01,1.157765621327591361e+04
6.345733335422511345e+01,1.244443261426983190e+04
6.550434410758721526e+01,1.306355861497977457e+04
6.755135486094931707e+01,1.349694681547673463e+04
6.959836561431141888e+01,1.368268461568971725e+04
7.164537636767352069e+01,1.411607281618667548e+04
7.369238712103562250e+01,1.442563581654164591e+04
7.573939787439772431e+01,1.467328621682562334e+04
7.778640862775981191e+01,1.529241221753556601e+04
7.983341938112191372e+01,1.591153821824550687e+04
8.188043013448401553e+01,1.622110121860047911e+04
8.392744088784611733e+01,1.653066421895544772e+04
8.597445164120821914e+01,1.696405241945240778e+04
8.802146239457032095e+01,1.764509102023334344e+04
9.006847314793242276e+01,1.795465402058831751e+04
9.211548390129452457e+01,1.814039182080129831e+04
9.416249465465662638e+01,1.838804222108527392e+04
9.620950540801872819e+01,1.857378002129825836e+04
9.825651616138083000e+01,1.882143042158223398e+04
1.003035269147429176e+02,1.913099342193720440e+04
