# Radii, Kt
0.000000000000000000e+00,0.000000000000000000e+00
1.348293777064686161e+01,4.046484289329448529e+02
2.696587554129372322e+01,2.504966464822991838e+03
4.044881331194058305e+01,5.241160603321952294e+03
5.393175108258744643e+01,8.786651599686802001e+03
6.741468885323430982e+01,1.329559123636818731e+04
8.089762662388116610e+01,1.930751075194336954e+04
9.438056439452803659e+01,2.576261664206415662e+04
1.078635021651748929e+02,3.165892232080135364e+04
1.213464399358217491e+02,3.639908963115870574e+04
1.348293777064686196e+02,4.069607056697045482e+04
1.483123154771154759e+02,4.487743766594422050e+04
1.617952532477623322e+02,4.921295654736862343e+04
1.752781910184091885e+02,5.339432364634238911e+04
1.887611287890560732e+02,5.680493183306292485e+04
2.022440665597029295e+02,6.056238153029741079e+04
2.157270043303497857e+02,6.397298971701794653e+04
2.292099421009966420e+02,6.724871509409416467e+04
2.426928798716434983e+02,7.025467485188176215e+04
2.561758176422903830e+02,7.281744823512373841e+04
2.696587554129372393e+02,7.570779415607334522e+04
2.831416931835840956e+02,7.815495370247734536e+04
2.966246309542309518e+02,8.042869249362437404e+04
3.101075687248778081e+02,8.268316231196506124e+04
3.235905064955246644e+02,8.499543904872474377e+04
3.370734442661715207e+02,8.738479167670976312e+04
3.505563820368183769e+02,8.967779944066311873e+04
3.640393198074652901e+02,9.179738644935948832e+04
3.775222575781121463e+02,9.376282167560522794e+04
3.910051953487590026e+02,9.559337409220663540e+04
4.044881331194058589e+02,9.730831267197006673e+04
4.179710708900527152e+02,9.913886508857148874e+04
4.314540086606995715e+02,1.005262311306273041e+05
4.449369464313464277e+02,1.017979833358451287e+05
4.584198842019932840e+02,1.028770458129996405e+05
4.719028219726401403e+02,1.037826875348971953e+05
4.853857597432869966e+02,1.045727154199567449e+05
4.988686975139338529e+02,1.051893225497593376e+05
5.123516352845807660e+02,1.056710468699175981e+05
5.258345730552275654e+02,1.062105781084948540e+05
5.393175108258744785e+02,1.065574196190088114e+05
5.528004485965212780e+02,1.068271852382974466e+05
5.662833863671681911e+02,1.070198749663607450e+05
5.797663241378151042e+02,1.071354888031987357e+05
5.932492619084619037e+02,1.071932957216177310e+05
6.067321996791088168e+02,1.072318336672303849e+05
6.202151374497556162e+02,1.072318336672303849e+05
6.336980752204025293e+02,1.072318336672303849e+05
6.471810129910493288e+02,1.072318336672303849e+05
6.606639507616962419e+02,1.072318336672303849e+05
