# radii,kt_mito
0.000000000000000000e+00,0.000000000000000000e+00
5.373644455748531001e+00,7.793076787689338403e+01
1.074728891149706200e+01,4.392461462152172089e+02
1.612093336724559123e+01,8.714076771688986582e+02
2.149457782299412401e+01,1.466515359137902806e+03
2.686822227874265678e+01,2.302499959999122439e+03
3.224186673449118246e+01,3.351023018706415314e+03
3.761551119023971523e+01,4.484561460552136850e+03
4.298915564598824801e+01,5.632269132920931042e+03
4.836280010173678079e+01,7.056276800489618836e+03
5.373644455748531357e+01,8.728246002212059466e+03
5.911008901323383924e+01,1.034353828184221311e+04
6.448373346898236491e+01,1.195883056147236675e+04
6.985737792473089769e+01,1.373706899211784184e+04
7.523102238047943047e+01,1.540903819384028247e+04
8.060466683622796324e+01,1.691806124454739984e+04
8.597831129197649602e+01,1.825705352897765988e+04
9.135195574772502880e+01,1.946852273870027420e+04
9.672560020347356158e+01,2.069416117894596027e+04
1.020992446592220944e+02,2.174268423765325133e+04
1.074728891149706271e+02,2.282663037266822357e+04
1.128465335707191457e+02,2.383973035506783708e+04
1.182201780264676785e+02,2.484574572220591654e+04
1.235938224822162113e+02,2.571006878411327853e+04
1.289674669379647298e+02,2.658856107654371590e+04
1.343411113937132768e+02,2.744579952318954020e+04
1.397147558494617954e+02,2.834554566140458337e+04
1.450884003052103424e+02,2.926654564540423235e+04
1.504620447609588609e+02,3.002459947838855805e+04
1.558356892167074079e+02,3.074014561980367216e+04
1.612093336724559265e+02,3.142026868491110508e+04
1.665829781282044735e+02,3.202246098214164522e+04
1.719566225839529920e+02,3.256797635727989837e+04
1.773302670397015106e+02,3.299305327297204349e+04
1.827039114954500576e+02,3.346063788023340021e+04
1.880775559511985762e+02,3.389988402644862072e+04
1.934512004069471232e+02,3.419035325217158970e+04
1.988248448626956417e+02,3.438872247949458688e+04
2.041984893184441887e+02,3.453041478472530434e+04
2.095721337741927073e+02,3.474295324257137690e+04
2.149457782299412543e+02,3.490589939358669653e+04
2.203194226856897728e+02,3.496966093094051757e+04
2.256930671414382914e+02,3.499799939198666107e+04
2.310667115971868384e+02,3.504759169881741400e+04
2.364403560529353570e+02,3.506884554460202344e+04
2.418140005086839039e+02,3.506884554460202344e+04
2.471876449644324225e+02,3.506884554460202344e+04
2.525612894201809695e+02,3.506884554460202344e+04
2.579349338759294596e+02,3.506884554460202344e+04
2.633085783316780066e+02,3.506884554460202344e+04
