event-id,visible,timestamp,location-long,location-lat,argos:calcul-freq,argos:iq,argos:lc,argos:location-algorithm,argos:nb-mes,argos:sat-id,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
24174715697,true,2013-03-08 05:45:10.000,169.011,-64.172,4.01677626E8,"8","B","least squares",1,"K","argos-doppler-shift","Balaenoptera musculus","121205","121205","Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715698,true,2013-03-08 06:08:52.000,,,,"","","least squares",2,"M","argos-doppler-shift","Balaenoptera musculus","121205","121205","Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715699,true,2013-03-08 06:33:36.000,,,,"","","least squares",1,"N","argos-doppler-shift","Balaenoptera musculus","121205","121205","Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715700,true,2013-03-08 07:26:05.000,,,,"","","least squares",3,"K","argos-doppler-shift","Balaenoptera musculus","121205","121205","Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715701,true,2013-03-08 07:47:02.000,169.074,-64.187,4.01677544E8,"","A","least squares",3,"M","argos-doppler-shift","Balaenoptera musculus","121205","121205","Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715702,true,2013-03-08 07:51:51.000,,,,"","","least squares",1,"L","argos-doppler-shift","Balaenoptera musculus","121205","121205","Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715703,true,2013-03-08 08:00:13.000,,,,"","","least squares",1,"P","argos-doppler-shift","Balaenoptera musculus","121205","121205","Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715704,true,2013-03-08 11:01:42.000,169.142,-64.191,4.01677554E8,"8","B","least squares",2,"M","argos-doppler-shift","Balaenoptera musculus","121205","121205","Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715705,true,2013-03-08 11:24:04.000,169.116,-64.217,4.01677578E8,"","B","least squares",1,"P","argos-doppler-shift","Balaenoptera musculus","121205","121205","Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715706,true,2013-03-08 11:36:15.000,169.103,-64.242,4.01677536E8,"","B","least squares",1,"N","argos-doppler-shift","Balaenoptera musculus","121205","121205","Antarctic blue whales, east Antarctic sector of the Southern Ocean"
